Name,Size (meters),Speed (mph),Miss Distance,Absolute Magnitude
2004 YC,45.0858206172,33520.5626625665,39022622.72179922,25.6
2007 YH,544.5527790857,33678.2181718357,41392174.54743553,20.19
2016 WB8,39.2681081809,19357.4285772382,45291944.26173282,25.9
2020 BO12,206.0819612321,56117.5795362663,35633221.106380545,22.3
2020 BX12,444.6721996757,43855.1054387178,43533809.882160984,20.63
2020 DA1,6.5168838217,43982.4173676099,43979386.33414702,29.8
523728 2014 ON344,179.4898847799,30633.0460235059,32901438.11059189,22.6
2007 SW2,303.4170480479,22860.1891030308,21990393.068519205,21.46
2015 EG7,19.6806745089,37677.7238573323,12514971.000789134,27.4
2015 TO237,1066.694310755,54818.0768338962,40511096.686383516,18.73
2015 VC105,54.2050786336,11057.1981487063,45372525.67929113,25.2
253062 2002 TC70,358.1294030194,6342.9355691464,12453211.99988499,21.1
448628 2010 VF1,510.5519964367,48734.6335796257,35490656.81315491,20.33
2014 GJ1,85.5145429273,11770.9372683246,11348008.404281951,24.21
2017 FZ2,28.4472296503,20932.9709057263,25198660.82375025,26.6
2019 BN2,29.3792008837,26038.2477326577,11247607.144975511,26.53
2023 OV,1106.7256583997,38888.6958462996,22236311.557436056,18.65
2014 NE3,583.4988155112,28675.4132986832,36480812.68872167,20.04
2016 PC2,149.2931834393,32365.354972272,6648075.567420117,23.0
2017 OU18,95.0692305162,34016.2334388342,11072919.323746111,23.98
2018 FA3,163.696720474,13583.6013486392,13675868.686438268,22.8
2019 WW,72.7846803049,54181.61979398,44504871.17576919,24.56
